"code"	"name"	"estimated_value"	"estimated_growth_rate"	"today_net_unit_value"	"today_daily_growth_rate"	"estimation_bias"	"yesterday_net_unit_value"	"is_buy"
"006487"	"广发中证1000指数C"	"1.1636"	"1.79%"	"---"	"---"	"---"	"1.1432"	"1"
"006166"	"建信中证1000指数增强C"	"1.2743"	"1.79%"	"---"	"---"	"---"	"1.2519"	"1"
"006165"	"建信中证1000指数增强A"	"1.2796"	"1.79%"	"---"	"---"	"---"	"1.2571"	"1"
"004890"	"中邮文娱灵活配置混合"	"1.2326"	"1.79%"	"---"	"---"	"---"	"1.2110"	"1"
"006281"	"万家人工智能混合"	"1.1793"	"1.79%"	"---"	"---"	"---"	"1.1585"	"1"
"000522"	"华润元大信息传媒科技混合"	"1.6204"	"1.78%"	"---"	"---"	"---"	"1.5920"	"1"
"000063"	"长盛电子信息主题灵活配置混合"	"1.5755"	"1.78%"	"---"	"---"	"---"	"1.5480"	"1"
"001730"	"兴银大健康"	"0.8244"	"1.78%"	"---"	"---"	"---"	"0.8100"	"1"
"001449"	"华商双驱优选混合"	"1.2366"	"1.78%"	"---"	"---"	"---"	"1.2150"	"1"
"377530"	"上投摩根行业轮动混合A"	"1.9877"	"1.78%"	"---"	"---"	"---"	"1.9530"	"1"
"006348"	"银华盛利混合发起式"	"1.3901"	"1.78%"	"---"	"---"	"---"	"1.3659"	"1"
"090015"	"大成内需增长混合A"	"3.0540"	"1.77%"	"---"	"---"	"---"	"3.0010"	"1"
"110029"	"易方达科讯混合"	"1.2137"	"1.77%"	"---"	"---"	"---"	"1.1926"	"1"
"161033"	"富国中证智能汽车(LOF)"	"1.2426"	"1.77%"	"---"	"---"	"---"	"1.2210"	"1"
"270026"	"广发中小板300联接"	"1.0569"	"1.77%"	"---"	"---"	"---"	"1.0385"	"1"
"005310"	"广发电子信息传媒股票"	"1.1386"	"1.77%"	"---"	"---"	"---"	"1.1188"	"1"
"001294"	"新华战略新兴产业灵活配置混合"	"0.6584"	"1.76%"	"---"	"---"	"---"	"0.6470"	"1"
"004636"	"中信建投智信物联网C"	"1.3880"	"1.75%"	"---"	"---"	"---"	"1.3641"	"1"
"005300"	"万家成长优选混合C"	"1.2168"	"1.75%"	"---"	"---"	"---"	"1.1959"	"1"
"005566"	"创金合信国证2000指数C"	"0.9429"	"1.75%"	"---"	"---"	"---"	"0.9267"	"1"
"001704"	"国投瑞银进宝灵活配置混合"	"1.4007"	"1.75%"	"---"	"---"	"---"	"1.3766"	"1"
"005565"	"创金合信国证2000指数A"	"0.9453"	"1.75%"	"---"	"---"	"---"	"0.9291"	"1"
"001809"	"中信建投智信物联网A"	"1.3367"	"1.75%"	"---"	"---"	"---"	"1.3137"	"1"
"000004"	"中海可转债债券C"	"0.7762"	"1.74%"	"---"	"---"	"---"	"0.7630"	"1"
"001970"	"泰信鑫选灵活配置混合A"	"1.0581"	"1.74%"	"---"	"---"	"---"	"1.0400"	"1"
"000003"	"中海可转债债券A"	"0.7752"	"1.74%"	"---"	"---"	"---"	"0.7620"	"1"
"005299"	"万家成长优选混合A"	"1.2292"	"1.74%"	"---"	"---"	"---"	"1.2081"	"1"
"006133"	"万家智造优势混合C"	"1.4245"	"1.74%"	"---"	"---"	"---"	"1.4002"	"1"
"501062"	"南方瑞合定开混合(LOF)"	"1.0954"	"1.74%"	"---"	"---"	"---"	"1.0767"	"0"
"165511"	"信诚中证500指数分级"	"1.1160"	"1.73%"	"---"	"---"	"---"	"1.0970"	"1"
"660011"	"农银中证500指数"	"1.3142"	"1.73%"	"---"	"---"	"---"	"1.2919"	"1"
"090017"	"大成可转债增强债券"	"1.1241"	"1.73%"	"---"	"---"	"---"	"1.1050"	"1"
"000008"	"嘉实中证500ETF联接A"	"1.3979"	"1.73%"	"---"	"---"	"---"	"1.3741"	"1"
"160616"	"鹏华中证500指数(LOF)A"	"1.1699"	"1.73%"	"---"	"---"	"---"	"1.1500"	"1"
"162711"	"广发中证500ETF联接A"	"1.1307"	"1.73%"	"---"	"---"	"---"	"1.1115"	"1"
"000478"	"建信中证500指数增强A"	"2.0360"	"1.73%"	"---"	"---"	"---"	"2.0014"	"1"
"000962"	"天弘中证500指数A"	"0.8911"	"1.73%"	"---"	"---"	"---"	"0.8760"	"1"
"006783"	"红土创新中证500增强A"	"1.0458"	"1.73%"	"---"	"---"	"---"	"1.0280"	"1"
"001455"	"景顺长城中证500ETF联接"	"0.7162"	"1.73%"	"---"	"---"	"---"	"0.7040"	"1"
"001351"	"诺安中证500指数增强"	"0.7130"	"1.73%"	"---"	"---"	"---"	"0.7009"	"1"
"001702"	"东方创新科技混合"	"1.0423"	"1.73%"	"---"	"---"	"---"	"1.0246"	"1"
"001556"	"天弘中证500指数增强A"	"0.8165"	"1.73%"	"---"	"---"	"---"	"0.8026"	"1"
"161017"	"富国中证500指数(LOF)"	"1.6785"	"1.73%"	"---"	"---"	"---"	"1.6500"	"1"
"001606"	"农银工业4.0混合"	"1.3141"	"1.73%"	"---"	"---"	"---"	"1.2918"	"1"
"164809"	"工银中证500指数"	"1.0872"	"1.73%"	"---"	"---"	"---"	"1.0687"	"1"
"002076"	"浙商中证500指数增强A"	"0.9713"	"1.73%"	"---"	"---"	"---"	"0.9548"	"1"
"002510"	"申万菱信中证500指数增强A"	"1.1275"	"1.73%"	"---"	"---"	"---"	"1.1083"	"1"
"002903"	"广发中证500ETF联接C"	"0.9034"	"1.73%"	"---"	"---"	"---"	"0.8880"	"1"
"003016"	"中金中证500A"	"1.0674"	"1.73%"	"---"	"---"	"---"	"1.0493"	"1"
"002907"	"南方中证500量化增强C"	"0.9339"	"1.73%"	"---"	"---"	"---"	"0.9180"	"1"
"002311"	"创金合信中证500指数增强A"	"0.9822"	"1.73%"	"---"	"---"	"---"	"0.9655"	"1"
"001052"	"华夏中证500ETF联接A"	"0.5738"	"1.73%"	"---"	"---"	"---"	"0.5640"	"1"
"002906"	"南方中证500量化增强A"	"0.9400"	"1.73%"	"---"	"---"	"---"	"0.9240"	"1"
"003578"	"中金中证500C"	"1.0695"	"1.73%"	"---"	"---"	"---"	"1.0513"	"1"
"001557"	"天弘中证500指数增强C"	"0.8048"	"1.73%"	"---"	"---"	"---"	"0.7911"	"1"
"004348"	"南方中证500ETF联接C"	"1.3132"	"1.73%"	"---"	"---"	"---"	"1.2909"	"1"
"003986"	"申万菱信中证500指数优选增强A"	"1.2414"	"1.73%"	"---"	"---"	"---"	"1.2203"	"1"
"003761"	"国泰中证500指数增强C"	"1.0411"	"1.73%"	"---"	"---"	"---"	"1.0234"	"1"
"160119"	"南方中证500ETF联接A"	"1.3216"	"1.73%"	"---"	"---"	"---"	"1.2991"	"1"
"001241"	"国寿安保中证500ETF联接"	"0.5090"	"1.73%"	"---"	"---"	"---"	"0.5003"	"1"
"161037"	"富国中证高端制造指数增强型"	"1.2520"	"1.73%"	"---"	"---"	"---"	"1.2307"	"1"
"004193"	"招商中证500指数C"	"0.9586"	"1.73%"	"---"	"---"	"---"	"0.9423"	"1"
"003760"	"国泰中证500指数增强A"	"1.0548"	"1.73%"	"---"	"---"	"---"	"1.0369"	"1"
"004192"	"招商中证500指数A"	"0.9604"	"1.73%"	"---"	"---"	"---"	"0.9441"	"1"
"005062"	"博时中证500指数增强A"	"1.0143"	"1.73%"	"---"	"---"	"---"	"0.9971"	"1"
"501037"	"汇添富中证500C"	"0.8321"	"1.73%"	"---"	"---"	"---"	"0.8180"	"1"
"501036"	"汇添富中证500A"	"0.8361"	"1.73%"	"---"	"---"	"---"	"0.8219"	"1"
"004791"	"富荣中证500指数C"	"1.0107"	"1.73%"	"---"	"---"	"---"	"0.9935"	"1"
