"xh"	"sgdm"	"zqdm"	"name"	"wsfxr"	"ssr"	"fxl"	"wsfxl"	"sgsx"	"fxj"	"syl"	"zql"
"1"	"002973"	"002973"	"侨银环保"	"2019-12-25"	"--"	"4,089"	"1,227"	"1.20"	"--"	"--"	"--"
"2"	"787081"	"688081"	"兴图新科"	"2019-12-24"	"--"	"1,840"	"524"	"0.50"	"--"	"--"	"--"
"3"	"732109"	"603109"	"神驰机电"	"2019-12-18"	"--"	"3,667"	"1,466"	"1.40"	"--"	"--"	"--"
"4"	"002972"	"002972"	"科安达"	"2019-12-18"	"--"	"4,408"	"1,322"	"1.30"	"--"	"--"	"--"
"5"	"787078"	"688078"	"龙软科技"	"2019-12-18"	"--"	"1,769"	"504"	"0.50"	"--"	"--"	"--"
"6"	"787268"	"688268"	"华特气体"	"2019-12-17"	"--"	"3,000"	"855"	"0.85"	"22.16"	"42.89"	"--"
"7"	"787123"	"688123"	"聚辰股份"	"2019-12-12"	"--"	"3,021"	"1,151"	"0.85"	"33.25"	"52.78"	"--"
"8"	"780512"	"601512"	"中新集团"	"2019-12-11"	"--"	"14,989"	"13,490"	"4.40"	"9.67"	"17.34"	"--"
"9"	"732995"	"603995"	"甬金股份"	"2019-12-11"	"--"	"5,767"	"5,190"	"2.30"	"22.52"	"16.23"	"--"
"51"	"787128"	"688128"	"中国电研"	"2019-10-25"	"2019-11-05"	"5,000"	"1,429"	"0.95"	"18.79"	"42.92"	"--"
"10"	"787089"	"688089"	"嘉必优"	"2019-12-10"	"--"	"3,000"	"1,033"	"0.75"	"23.90"	"43.11"	"--"
"52"	"787023"	"688023"	"安恒信息"	"2019-10-25"	"2019-11-05"	"1,852"	"634"	"0.45"	"56.50"	"72.37"	"--"
"11"	"300807"	"300807"	"天迈科技"	"2019-12-05"	"--"	"1,700"	"1,700"	"1.70"	"17.68"	"22.98"	"--"
"53"	"787288"	"688288"	"鸿泉物联"	"2019-10-25"	"2019-11-06"	"2,500"	"850"	"0.60"	"24.99"	"46.25"	"--"
"12"	"787037"	"688037"	"芯源微"	"2019-12-04"	"2019-12-16"	"2,100"	"720"	"0.50"	"26.97"	"112.7"	"--"
"54"	"300800"	"300800"	"力合科技"	"2019-10-24"	"2019-11-06"	"2,000"	"2,000"	"2.00"	"50.64"	"22.98"	"--"
"13"	"002970"	"002970"	"锐明技术"	"2019-12-04"	"2019-12-17"	"2,160"	"1,944"	"0.85"	"38.00"	"22.98"	"--"
"55"	"787299"	"688299"	"长阳科技"	"2019-10-24"	"2019-11-06"	"7,064"	"2,691"	"2.00"	"13.71"	"48.71"	"--"
