"name"	"code"	"region"
"R003"	"201000"	"sh"
"R007"	"201001"	"sh"
"R014"	"201002"	"sh"
"R028"	"201003"	"sh"
"R091"	"201004"	"sh"
"R182"	"201005"	"sh"
"R001"	"201008"	"sh"
"R002"	"201009"	"sh"
"R004"	"201010"	"sh"
"RC001"	"202001"	"sh"
"RC003"	"202003"	"sh"
"RC007"	"202007"	"sh"
"0501R007"	"203007"	"sh"
"0501R028"	"203008"	"sh"
"0501R091"	"203009"	"sh"
"0504R007"	"203016"	"sh"
"0504R028"	"203017"	"sh"
"0504R091"	"203018"	"sh"
"0505R007"	"203019"	"sh"
"0505R028"	"203020"	"sh"
"0505R091"	"203021"	"sh"
"0509R007"	"203031"	"sh"
"0509R028"	"203032"	"sh"
"0509R091"	"203033"	"sh"
"0512R007"	"203040"	"sh"
"0512R028"	"203041"	"sh"
"0512R091"	"203042"	"sh"
"0513R007"	"203043"	"sh"
"0513R028"	"203044"	"sh"
"0513R091"	"203045"	"sh"
"0601R007"	"203049"	"sh"
"0601R028"	"203050"	"sh"
"0601R091"	"203051"	"sh"
"0603R007"	"203052"	"sh"
"0603R028"	"203053"	"sh"
"0603R091"	"203054"	"sh"
"GC001"	"204001"	"sh"
"GC002"	"204002"	"sh"
"GC003"	"204003"	"sh"
"GC004"	"204004"	"sh"
"GC007"	"204007"	"sh"
"GC014"	"204014"	"sh"
"GC028"	"204028"	"sh"
"GC091"	"204091"	"sh"
"GC182"	"204182"	"sh"
"基金金泰"	"500001"	"sh"
"基金泰和"	"500002"	"sh"
"基金安信"	"500003"	"sh"
"基金汉盛"	"500005"	"sh"
"基金裕阳"	"500006"	"sh"
"基金景阳"	"500007"	"sh"
"基金兴华"	"500008"	"sh"
"基金安顺"	"500009"	"sh"
"基金金元"	"500010"	"sh"
"基金金鑫"	"500011"	"sh"
"基金安瑞"	"500013"	"sh"
"基金汉兴"	"500015"	"sh"
"基金裕元"	"500016"	"sh"
"基金景业"	"500017"	"sh"
"基金兴和"	"500018"	"sh"
"基金普润"	"500019"	"sh"
"基金金鼎"	"500021"	"sh"
"基金汉鼎"	"500025"	"sh"
"基金兴业"	"500028"	"sh"
"基金科讯"	"500029"	"sh"
"基金汉博"	"500035"	"sh"
"基金通乾"	"500038"	"sh"
"基金同德"	"500039"	"sh"
